epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0675,1.76636,3.74149,1.61908,0.00246,0.55,0.27569,0.20705,1.3385,4.27944,1.40936,0.00053344,0.00053344,0.00053344
2,136.708,1.2976,2.95788,1.34656,0.00247,0.75,0.33345,0.25023,1.24202,4.07689,1.24236,0.00106754,0.00106754,0.00106754
3,205.244,1.48251,2.74128,1.35631,0.23858,0.55,0.23257,0.14632,1.7911,4.53206,1.50038,0.00157964,0.00157964,0.00157964
4,276.634,1.57633,3.07801,1.42463,0.77024,0.4,0.32488,0.20528,1.52064,3.92492,1.4868,0.00156798,0.00156798,0.00156798
5,338.737,1.43014,2.80236,1.28322,0.32614,0.6,0.40142,0.21219,1.49269,4.38204,1.34463,0.00153497,0.00153497,0.00153497
6,400.021,1.35716,3.32807,1.31682,0.1127,0.3,0.14089,0.0662,1.41765,5.2562,1.41419,0.00150197,0.00150197,0.00150197
7,456.843,1.67226,2.99905,1.47673,0.53434,0.5,0.50579,0.30217,1.50359,4.15992,1.4468,0.00146896,0.00146896,0.00146896
8,519.657,1.43044,2.60515,1.36333,0.55534,0.55,0.56392,0.37379,1.40078,3.5512,1.37168,0.00143595,0.00143595,0.00143595
9,585.795,1.24719,2.53645,1.30039,0.87241,0.53572,0.63411,0.40874,1.30516,3.82955,1.29751,0.00140295,0.00140295,0.00140295
10,655.881,1.22897,2.13858,1.25872,0.89955,0.59693,0.72906,0.49019,1.21276,3.33504,1.29579,0.00136994,0.00136994,0.00136994
11,716.389,1.24899,2.10987,1.23666,0.73534,0.64969,0.61878,0.43737,1.15047,3.59957,1.26012,0.00133693,0.00133693,0.00133693
12,776.779,1.30441,2.01559,1.24609,0.56498,0.64694,0.59012,0.43068,1.14299,2.8163,1.23262,0.00130393,0.00130393,0.00130393
13,836.254,1.30662,2.18116,1.23276,0.39201,0.7,0.6264,0.48365,1.01544,2.66048,1.17086,0.00127092,0.00127092,0.00127092
14,895.714,1.12676,1.97581,1.20654,0.67593,0.6,0.64848,0.43256,1.09523,3.01538,1.21505,0.00123791,0.00123791,0.00123791
